国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
49,50,54,54,60,48,56,56,45,56,55,41
57,60,48,52,64,59,64,60,49,61,58,54
65,67,50,51,54,44,54,62,50,64,61,52
55,57,49,52,61,55,60,58,47,59,57,50
43,41,45,46,46,33,45,45,36,44,45,31
36,35,45,47,54,44,52,44,35,42,44,31
63,66,62,60,65,53,60,68,54,70,67,53
56,57,38,44,55,51,58,53,43,53,51,50
52,52,44,47,53,45,54,52,42,52,51,44
61,65,53,55,64,57,62,64,52,66,63,55
44,43,49,49,51,38,48,48,39,48,49,34
66,71,57,59,72,67,69,71,57,73,69,62
59,62,51,53,61,54,60,61,49,62,60,52
63,65,55,55,59,49,57,64,51,65,63,51
47,47,53,53,57,45,53,53,43,53,53,39
66,71,62,62,75,69,71,73,58,75,71,62
63,65,52,52,57,47,56,62,50,64,61,51
47,50,54,56,69,62,65,58,46,58,57,47
47,48,61,59,62,47,55,58,46,58,58,38
62,65,56,56,62,52,59,65,52,66,64,53
61,60,50,49,45,31,45,56,45,57,56,42
38,36,44,46,53,43,51,44,36,42,44,32
58,62,47,52,65,61,65,61,49,62,59,56
59,61,55,54,56,44,54,61,48,62,60,47
63,68,56,58,70,65,68,69,55,70,66,60
73,79,56,58,68,62,67,74,59,76,71,66
51,51,46,48,52,42,52,52,42,52,52,41
74,80,60,61,73,68,71,77,61,80,74,68
65,70,45,52,69,69,70,66,53,67,63,65
73,78,57,59,70,65,68,74,59,77,72,66
74,81,48,54,71,72,73,73,59,75,69,72
57,59,55,54,57,44,54,60,48,61,60,46
71,74,49,51,57,51,59,66,53,68,64,60
73,75,45,47,47,38,51,62,50,65,61,56
68,73,52,55,67,62,66,69,55,71,67,63
61,65,54,56,66,59,64,65,52,67,64,56
47,48,58,58,66,55,60,58,47,58,58,42
66,70,64,62,69,58,63,72,57,74,71,57
60,61,50,51,55,45,54,59,47,60,58,48
48,46,52,50,47,30,44,50,40,50,51,32
67,70,56,56,61,51,59,67,54,69,66,56
75,79,54,55,62,55,62,71,57,74,70,63
70,71,48,48,44,31,46,60,48,63,60,50
57,58,57,55,57,44,53,60,48,61,60,44
51,53,58,57,65,54,60,60,48,61,59,45
56,57,59,57,59,45,54,61,49,63,61,44
45,44,44,46,51,40,50,47,38,46,47,36
61,64,50,54,68,65,67,65,52,65,62,59
69,72,60,59,64,53,60,70,56,73,70,57
60,62,60,59,66,55,61,66,52,68,65,51
52,54,47,50,59,52,58,55,44,55,54,47
51,52,48,51,63,57,62,56,45,56,55,48
69,74,50,54,70,68,70,70,56,71,67,66
65,68,54,54,58,47,56,64,52,67,64,53
70,75,57,59,72,68,70,73,58,75,71,66
60,61,47,48,48,38,49,56,45,58,56,46
58,61,60,59,66,55,61,65,52,67,64,50
54,58,58,59,74,68,69,65,52,65,63,54
54,56,51,53,63,56,61,59,47,59,57,49
61,65,51,54,68,64,67,65,52,66,63,58
50,52,53,55,68,61,64,59,47,59,58,49
66,71,59,59,69,62,66,71,56,73,69,60
70,74,52,55,65,61,65,70,56,71,67,63
66,72,52,55,70,68,70,69,55,70,66,64
63,69,60,62,79,75,74,73,58,74,70,63
60,61,50,50,51,40,51,58,47,60,58,46
61,60,45,45,43,31,45,54,44,55,54,44
59,62,53,55,64,56,62,63,50,64,61,53
68,74,54,58,77,76,76,73,58,74,70,69
58,58,49,49,48,35,48,55,45,57,56,43
60,62,60,58,62,49,57,64,51,66,64,49
46,45,46,48,52,41,50,49,39,48,49,37
44,43,51,51,55,42,51,50,40,50,50,35
53,55,60,59,69,58,63,63,50,64,62,48
61,65,52,54,65,59,64,64,51,65,62,56
71,76,53,56,68,64,67,72,57,74,69,65
59,62,49,52,60,53,60,60,49,61,59,52
57,58,55,54,58,45,54,60,48,61,59,45
52,54,52,53,60,51,58,57,46,58,56,46
55,56,55,54,56,43,53,58,47,59,58,43
60,62,46,49,60,55,61,60,48,60,58,54
57,60,58,57,64,54,60,63,51,65,62,50
74,78,53,54,60,53,60,70,56,73,69,62
51,48,39,41,37,24,40,44,36,45,45,34
55,57,49,52,60,53,59,58,47,59,57,49
68,73,56,57,67,61,66,70,56,72,68,61
51,51,51,51,53,41,51,53,43,54,54,40
60,65,52,55,69,66,68,66,52,66,63,58
58,60,47,49,54,45,54,57,46,58,56,48
59,62,57,57,64,55,61,64,51,66,63,51
55,56,57,56,62,51,58,61,49,62,60,47
54,54,52,52,55,43,52,56,45,57,56,43
74,78,56,56,59,50,59,70,56,74,69,60
51,54,53,55,67,59,63,60,48,60,58,48
63,65,49,51,56,48,57,62,49,63,60,53
52,54,56,56,65,56,61,60,48,60,59,46
62,65,53,54,59,50,58,63,51,65,62,52
65,69,52,54,61,54,60,65,52,67,64,56
63,65,50,51,57,48,57,62,50,63,61,53
71,76,70,65,68,54,61,76,60,80,76,58
55,55,48,49,52,41,51,54,44,55,54,43
59,59,53,51,50,35,48,57,46,59,58,43
57,61,61,61,75,68,70,68,54,69,66,56
39,39,49,50,58,48,55,48,39,47,48,35
53,53,42,46,53,46,55,52,42,52,51,45
67,71,52,54,62,55,62,67,53,69,65,58
52,53,52,53,59,49,56,56,45,57,56,44
49,50,62,59,64,49,56,59,47,60,60,40
52,53,48,51,61,54,59,56,45,56,55,47
46,46,47,49,55,46,54,51,41,50,50,39
57,57,54,53,55,43,53,58,47,60,58,44
61,62,54,53,52,38,50,59,48,61,60,45
50,52,56,56,67,58,62,59,47,59,58,46
62,67,55,57,71,67,69,68,55,69,66,60
62,63,47,49,52,42,53,58,47,60,58,49
48,50,67,63,68,53,59,62,49,63,62,41
67,72,50,54,68,65,68,68,55,69,65,64
50,50,43,45,50,40,50,50,40,49,49,40
51,51,49,50,53,42,52,53,43,53,53,40
68,72,54,56,65,59,64,69,55,71,67,60
48,48,47,50,59,51,57,52,42,52,51,43
