国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
68,67,55,68,49,47,44,58,42,61,62,55
64,72,55,67,55,66,49,61,50,62,67,67
70,81,53,61,46,49,49,58,51,67,77,75
71,71,58,67,47,61,55,51,42,63,66,62
56,68,54,52,49,34,24,45,43,57,64,50
52,56,52,60,51,51,39,44,37,52,57,36
78,75,69,73,55,54,48,75,53,71,72,68
63,67,44,56,50,50,44,57,44,53,64,57
65,66,45,55,50,50,34,58,48,60,68,48
66,80,58,67,54,49,58,60,50,60,78,69
59,67,59,64,48,42,28,49,38,53,63,35
71,78,58,74,57,71,67,72,47,63,69,79
70,74,52,67,53,58,59,54,49,63,74,57
69,77,54,63,52,45,43,61,56,69,70,57
64,67,54,66,46,50,34,61,46,61,64,50
72,78,67,79,54,63,71,72,51,64,80,77
76,83,59,71,52,42,47,67,48,64,72,71
65,66,57,72,51,58,55,59,42,62,70,51
59,70,66,77,47,53,41,63,40,63,68,41
74,77,63,73,55,59,56,67,51,65,68,68
67,80,49,66,48,43,23,59,47,60,75,66
57,61,45,55,44,49,32,42,33,48,62,32
68,80,54,64,50,52,63,64,53,61,66,74
69,71,60,70,49,41,45,60,48,67,67,64
70,79,55,67,54,65,68,61,54,62,73,63
85,81,64,74,50,65,56,73,55,64,84,77
58,69,48,57,43,41,45,45,45,57,73,61
75,79,67,76,57,58,73,80,58,68,80,85
73,82,53,63,51,63,64,58,54,61,76,70
84,81,62,71,54,55,55,70,61,65,72,79
78,79,52,63,55,73,64,66,55,65,77,84
63,79,55,69,47,43,38,63,54,64,73,55
81,82,50,65,48,52,56,72,62,68,82,76
81,83,56,58,47,38,47,72,54,66,81,80
80,84,57,64,52,56,55,70,53,70,74,76
75,78,57,66,58,56,59,63,54,63,70,64
56,61,63,72,54,50,42,60,39,58,67,54
77,81,69,83,50,59,64,76,53,70,72,62
75,75,58,68,51,41,39,68,45,65,71,66
61,62,56,70,45,39,36,64,43,62,64,36
78,77,59,76,52,47,57,71,55,72,79,70
81,87,54,68,54,62,58,73,64,67,73,87
74,87,51,66,48,39,41,75,63,62,80,66
67,75,55,69,49,51,42,63,48,68,72,63
67,64,63,66,54,55,48,53,48,61,67,50
72,68,58,67,50,50,40,71,50,68,73,52
58,70,53,58,43,42,33,49,41,52,67,52
74,74,50,65,52,66,52,63,51,64,74,77
76,80,63,73,53,47,44,65,59,75,79,65
67,73,62,80,59,59,57,65,52,66,77,62
70,71,52,62,56,59,40,47,42,60,64,64
58,74,53,58,55,61,59,46,44,60,63,60
73,86,57,64,51,59,61,59,48,60,74,72
75,80,59,62,49,52,42,66,57,63,73,59
73,80,61,70,58,58,63,73,49,71,78,76
65,74,55,57,51,43,33,62,56,64,72,56
68,71,67,76,58,50,54,65,50,66,71,67
72,77,56,72,59,73,55,66,43,59,66,54
