国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
54,55,61,61,59,56,55,53,50,53,51,53
60,61,53,53,63,67,67,45,58,65,57,65
60,60,56,56,53,52,53,73,70,60,70,58
58,59,55,54,60,63,62,47,56,61,55,61
43,45,49,47,47,41,41,43,45,46,46,39
43,46,50,47,54,52,50,25,36,48,36,43
66,65,72,74,64,61,62,81,65,60,66,63
54,55,40,38,54,59,59,33,57,63,55,59
52,53,48,46,53,53,53,43,54,56,54,52
63,63,60,61,63,65,65,61,63,64,63,65
47,48,55,54,51,46,45,48,46,47,47,42
70,70,66,68,70,75,75,65,66,70,66,75
60,61,57,57,60,62,62,57,61,62,61,62
62,61,63,63,58,56,57,73,66,60,66,60
52,53,60,59,56,53,52,51,48,51,49,49
72,71,71,74,73,77,77,70,66,69,66,76
61,60,59,59,56,55,55,70,67,60,67,59
58,59,61,60,67,70,68,37,45,60,45,62
56,56,71,72,61,55,54,64,48,50,50,51
63,62,64,64,60,60,60,71,65,61,65,62
54,53,56,55,45,39,40,77,67,51,67,46
44,46,48,45,53,51,49,26,38,48,38,43
61,62,53,52,63,69,68,45,59,66,58,67
59,58,62,63,56,52,53,72,63,56,63,54
68,68,64,65,68,73,73,60,64,68,63,72
72,71,64,66,66,70,71,77,76,71,75,75
51,52,51,49,52,50,50,48,54,54,54,49
76,74,69,72,71,76,77,79,76,73,75,80
66,67,50,50,67,77,76,43,65,74,63,77
73,72,66,68,68,72,73,76,75,72,74,77
73,73,54,55,69,80,80,58,75,79,73,83
58,58,63,64,56,52,53,70,61,55,61,54
65,64,54,55,56,59,60,72,75,66,75,66
61,60,49,49,47,46,48,80,80,62,79,58
68,68,59,60,65,70,71,64,70,70,69,73
64,64,61,62,64,67,67,61,63,65,63,67
57,57,67,67,64,63,62,52,47,55,47,56
70,68,75,77,67,66,66,85,68,63,69,68
58,57,56,56,54,53,53,64,63,58,63,55
48,48,59,58,47,38,39,64,52,44,53,39
65,64,64,65,59,59,60,79,71,62,71,64
70,68,61,63,61,63,64,83,79,68,78,70
58,57,53,53,44,39,42,87,78,56,78,51
58,57,65,66,56,52,52,72,60,54,61,53
59,59,67,67,64,62,62,57,51,56,52,58
59,58,68,69,58,53,53,74,59,53,60,54
46,48,48,45,50,48,48,37,46,51,46,45
64,65,56,56,66,73,72,48,61,68,59,71
68,67,70,72,62,61,62,86,72,63,73,66
64,63,70,71,64,63,63,71,61,60,62,63
55,56,51,50,58,60,59,42,53,59,53,57
56,57,53,52,62,65,64,38,50,60,50,60
69,70,56,57,68,76,76,56,69,74,68,78
63,62,62,62,57,55,56,77,69,60,70,60
72,72,65,67,70,76,76,69,71,72,70,78
55,54,52,51,49,45,46,66,65,55,65,51
63,63,70,71,64,63,63,70,60,59,60,62
65,65,67,67,72,76,75,49,52,65,52,70
58,59,57,57,62,64,63,48,54,60,54,61
65,65,58,58,66,72,71,52,61,68,61,70
59,60,60,60,66,69,68,41,49,61,49,63
69,68,68,70,67,70,70,73,68,67,68,71
69,68,59,60,64,68,69,68,72,70,71,72
69,69,58,59,68,76,75,56,67,72,66,76
72,72,70,71,76,83,82,59,62,72,61,79
56,56,56,56,51,48,49,70,65,55,65,52
52,52,49,48,44,39,40,69,67,53,67,46
62,62,60,60,62,64,64,58,60,62,60,64
73,73,61,63,74,84,84,54,67,77,65,83
54,53,55,54,48,43,44,70,63,52,64,48
62,61,69,70,60,57,58,76,63,57,64,58
48,49,51,49,51,49,48,43,48,50,48,46
49,49,58,56,54,49,49,47,45,48,46,45
62,61,70,70,67,66,65,59,53,58,53,62
64,64,59,59,63,67,67,57,63,65,62,67
71,70,60,62,66,72,72,69,74,72,73,75
60,60,55,55,59,61,61,54,61,62,60,62
58,57,63,63,57,53,54,68,59,55,60,54
56,57,58,58,59,59,59,51,53,57,53,57
56,56,63,63,55,51,51,68,58,53,59,52
59,60,50,50,59,63,62,49,62,64,61,63
62,61,66,67,63,62,62,65,59,59,59,61
69,67,60,62,59,60,62,83,79,67,78,68
43,44,42,39,38,32,33,53,57,46,57,36
58,58,55,54,59,61,61,50,57,60,56,60
69,68,64,65,66,69,69,72,71,68,70,72
52,52,57,56,53,49,49,56,54,52,54,49
65,66,59,59,68,73,73,50,60,68,60,72
56,56,52,52,54,53,53,58,62,58,61,55
63,62,66,67,63,63,63,67,61,60,61,62
59,59,65,65,61,59,59,62,56,57,57,57
55,55,59,58,54,51,51,61,57,53,57,51
69,67,64,65,59,58,60,88,79,65,79,66
59,60,61,60,65,67,66,45,51,60,51,62
60,60,55,55,56,56,57,64,67,61,66,60
59,59,64,64,63,63,63,53,52,58,52,59
62,61,60,61,58,58,58,69,66,61,66,60
64,64,59,60,60,61,62,68,68,64,68,65
60,60,56,56,56,56,57,66,67,61,66,60
73,70,82,85,66,62,64,103,75,62,77,67
53,53,53,52,51,49,49,57,58,54,58,50
55,54,60,60,50,43,45,76,64,52,65,48
67,67,70,72,73,76,75,57,55,65,56,71
48,49,55,53,57,56,54,32,39,50,39,48
52,53,45,43,53,54,54,40,55,58,54,54
66,65,59,60,61,63,64,69,70,66,69,67
55,56,59,58,58,57,56,53,53,56,54,55
57,57,73,73,62,57,56,66,50,51,51,52
56,57,54,53,60,61,61,43,52,59,52,58
50,51,53,51,55,54,53,41,47,53,47,50
57,56,61,61,55,51,51,67,60,54,60,52
57,56,61,62,51,46,47,78,66,54,67,51
59,59,64,63,65,66,65,48,49,58,50,60
68,68,62,63,69,75,75,56,62,69,61,73
57,57,52,52,52,50,51,65,66,58,66,55
60,59,78,79,66,60,60,68,48,51,50,55
68,68,56,56,66,73,73,56,68,72,66,75
49,50,47,45,50,48,48,44,53,53,53,48
52,52,55,54,53,50,50,53,53,52,54,49
68,67,62,63,64,66,67,70,70,67,70,70
52,54,52,50,58,59,58,37,48,56,48,54
60,60,66,67,65,65,64,56,52,58,53,60
71,71,65,66,71,77,77,63,67,71,66,77
67,67,80,82,75,75,74,66,52,61,53,68
67,66,54,55,58,61,62,73,78,69,76,69
56,56,63,63,55,51,51,67,57,53,58,51
62,63,44,44,57,64,65,50,70,70,68,68
57,56,73,73,61,55,55,67,49,50,51,51
62,61,71,73,58,52,53,87,66,55,67,55
62,61,66,66,64,64,64,60,56,60,57,62
73,72,58,59,69,77,78,63,74,76,73,81
43,45,45,42,48,45,44,33,44,48,44,41
52,51,73,73,53,41,41,79,51,42,54,40
57,58,55,54,63,67,65,39,51,61,50,62
60,60,63,64,56,53,54,76,65,57,66,56
61,61,57,57,60,61,61,58,62,62,61,62
63,63,61,62,62,63,64,64,64,63,63,64
63,62,60,61,54,52,53,83,75,61,75,60
49,49,54,53,50,45,45,53,51,49,51,44
70,70,71,72,76,82,81,54,56,69,56,76
52,53,58,57,58,56,55,46,47,53,48,51
50,51,57,56,53,49,49,50,48,50,49,46
66,65,73,75,70,71,70,65,56,62,57,67
74,73,71,74,75,81,81,68,66,72,66,80
56,55,70,70,59,53,52,67,51,50,53,50
68,66,80,82,66,62,63,90,66,59,67,63
73,73,61,62,71,79,79,63,72,75,71,81
59,58,62,62,56,53,54,69,61,56,62,55
64,64,65,66,67,69,68,59,58,63,58,67
53,54,58,57,58,56,55,46,48,54,49,52
51,52,41,39,51,53,53,37,56,59,55,53
56,57,58,57,63,64,63,42,48,58,48,59
58,57,65,65,57,53,53,68,58,54,59,53
70,70,73,75,75,79,79,60,58,67,58,75
62,62,60,60,64,66,66,54,59,63,58,65
67,67,60,61,64,67,67,67,70,68,69,70
63,62,62,63,57,55,56,76,69,60,69,60
65,65,60,60,63,66,66,64,67,66,66,68
64,63,69,70,62,60,60,77,65,60,66,62
66,65,72,74,65,63,64,77,63,60,64,64
66,65,59,60,61,63,64,70,70,66,70,67
62,63,60,60,66,69,69,51,57,64,57,67
61,61,57,57,60,62,62,58,62,63,62,63
62,62,59,59,61,63,63,60,62,63,62,63
55,56,46,45,50,51,51,57,66,60,65,55
58,57,61,61,57,54,54,65,59,56,60,55
55,55,55,54,51,48,49,64,62,55,62,51
60,60,58,58,55,53,54,71,68,59,67,58
58,59,56,56,61,63,62,47,54,60,54,60
54,55,49,48,56,57,57,44,55,59,55,56
50,52,53,51,56,56,55,37,46,54,46,51
65,65,55,55,63,68,68,57,66,68,65,70
48,49,34,31,45,47,47,36,59,58,57,50
48,49,51,49,49,45,45,49,52,50,52,45
64,64,77,78,70,69,68,66,53,58,54,64
61,60,69,69,65,64,63,61,53,57,54,60
68,69,66,68,74,81,79,51,57,69,56,76
65,65,71,72,69,70,69,63,57,62,57,66
43,44,63,61,46,34,34,62,44,38,46,32
68,67,60,61,63,67,67,69,72,68,71,70
64,64,59,59,66,71,71,51,59,66,59,69
61,60,55,55,52,51,53,75,73,61,73,59
40,40,52,49,36,24,24,64,51,37,52,26
69,70,52,52,66,76,76,54,72,76,70,78
62,63,55,55,61,65,65,55,63,65,62,66
56,56,40,39,43,42,44,69,78,61,76,54
49,51,48,46,53,53,52,38,49,54,49,50
60,59,81,82,68,62,61,68,46,50,48,55
49,51,56,55,57,55,54,38,42,51,42,49
38,40,48,44,44,36,35,37,39,41,40,32
61,59,71,72,56,49,50,86,65,53,66,53
65,65,51,51,66,74,74,44,63,71,61,73
65,64,67,68,65,65,66,67,62,62,62,65
62,62,56,56,61,64,64,56,62,64,62,64
64,64,65,66,69,72,71,53,55,64,55,67
61,61,64,64,64,65,64,58,56,60,57,62
64,64,57,58,64,68,68,55,62,66,62,68
64,64,63,64,65,68,67,59,60,63,60,66
45,46,54,53,47,39,39,54,49,45,50,38
71,69,81,83,71,69,69,85,65,62,66,69
59,60,53,53,62,66,65,44,57,64,56,64
47,48,38,36,41,38,39,52,63,53,62,44
64,64,59,60,58,58,59,74,72,64,72,64
57,58,48,47,57,60,60,45,59,62,58,60
66,65,62,63,60,61,62,76,71,64,71,66
60,60,67,68,61,58,58,68,58,56,59,58
50,52,57,55,60,60,58,33,40,53,41,52
74,72,74,76,72,74,75,79,70,69,70,76
69,69,63,64,72,79,78,54,62,71,62,77
56,55,71,71,56,48,48,77,56,49,58,48
73,71,67,69,63,64,66,92,82,70,82,73
62,62,59,59,60,61,62,64,65,63,64,63
56,56,59,58,55,51,52,63,58,55,59,52
55,55,69,69,63,58,57,55,45,51,46,52
56,57,63,63,63,63,62,46,46,55,47,56
57,58,59,59,64,66,65,43,49,59,49,60
49,51,52,50,57,56,55,33,43,53,43,50
47,49,50,48,51,48,47,42,48,50,48,45
