国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
49,48,54,54,59,48,56,55,62,52,55,41
57,59,48,49,64,59,64,64,67,55,58,54
65,70,50,51,54,44,54,61,66,53,61,52
55,56,49,50,61,55,60,61,66,53,57,50
43,40,45,45,46,33,45,45,56,43,45,31
36,32,45,45,54,44,52,46,57,44,44,31
63,66,62,63,65,53,60,64,68,61,67,53
55,58,38,40,55,52,58,60,65,48,51,50
52,53,44,45,53,45,54,55,62,48,51,44
61,65,53,55,64,57,62,65,68,57,63,55
44,42,50,50,51,38,48,48,58,46,49,33
66,70,57,59,72,67,69,72,72,63,69,62
59,62,51,52,61,54,60,62,67,55,60,52
63,66,55,56,59,49,57,62,66,56,63,52
47,46,53,53,57,45,53,52,61,50,53,38
66,70,62,63,75,69,71,72,72,65,71,62
63,67,52,53,57,47,56,61,66,54,61,51
47,46,54,54,69,62,65,60,65,55,57,47
47,46,62,61,62,47,55,54,61,55,58,38
62,66,56,57,61,52,59,63,67,57,64,53
61,63,50,51,45,31,45,53,61,48,56,42
38,34,44,44,53,43,51,47,57,44,44,32
58,61,47,49,65,61,65,65,68,55,59,56
59,62,55,56,56,44,54,58,64,54,60,47
63,67,56,57,70,65,68,70,71,61,66,60
73,80,56,58,68,62,67,73,73,63,71,66
51,51,46,47,52,42,52,53,61,48,51,41
74,81,60,61,73,68,71,76,75,66,74,68
65,70,45,47,69,69,70,72,72,58,63,65
73,80,57,59,70,65,68,74,73,64,72,66
74,82,48,51,71,72,73,78,76,62,69,72
58,59,55,56,57,44,54,57,64,54,60,46
71,78,48,50,57,51,59,67,69,56,64,60
73,80,45,47,47,38,51,62,67,51,61,56
68,74,52,54,67,62,66,71,71,60,67,63
62,65,54,55,66,59,64,66,69,58,64,56
47,46,58,59,66,55,60,57,63,55,58,42
66,70,64,65,69,58,63,68,70,64,71,57
60,62,50,51,55,45,54,59,64,52,58,48
48,47,52,53,47,30,44,46,57,46,51,32
67,72,56,57,61,51,59,65,68,58,66,56
75,82,54,56,62,55,62,71,71,60,70,63
70,76,48,49,44,31,46,58,64,50,60,50
57,58,57,58,57,44,53,57,63,54,60,44
51,51,58,58,65,54,60,59,64,56,60,45
56,57,59,60,59,45,54,57,64,55,61,44
45,43,44,44,51,40,50,49,59,45,47,36
60,64,50,51,68,65,67,68,70,58,62,59
69,74,60,61,64,53,60,67,69,61,69,57
59,62,60,61,66,55,61,63,67,59,65,51
52,53,47,48,59,52,58,58,64,51,54,47
51,51,48,49,63,57,61,59,65,52,55,48
68,74,50,52,70,68,70,74,73,61,67,66
65,70,54,55,58,47,56,63,67,56,64,53
70,76,57,58,72,68,70,74,73,64,71,66
60,63,47,48,49,37,49,56,63,49,56,46
58,60,60,61,66,55,61,62,67,59,64,50
54,55,58,59,74,68,69,66,69,60,63,54
54,55,51,52,63,56,61,60,65,54,57,49
61,65,51,53,68,64,67,68,70,58,63,58
50,50,53,54,68,61,64,61,66,55,58,49
67,71,59,60,69,62,66,70,71,62,69,60
70,76,52,54,65,60,65,71,71,60,67,63
66,72,51,53,70,68,70,72,72,61,66,64
63,67,60,61,79,75,74,74,73,65,70,63
60,63,50,51,51,40,51,57,63,51,58,46
61,64,45,46,43,31,45,53,61,46,54,44
59,62,53,54,64,56,62,63,67,56,61,53
68,73,54,56,77,77,76,77,75,64,70,69
58,61,49,50,48,35,48,54,62,49,56,43
60,62,60,60,62,49,57,61,66,58,64,49
46,44,46,47,52,41,50,50,59,46,49,37
44,41,51,51,55,42,51,49,59,48,50,35
53,53,60,61,69,58,63,61,66,59,62,48
61,65,52,53,65,59,64,66,69,57,62,56
71,78,53,55,68,64,67,73,73,62,69,65
59,62,49,50,60,53,60,62,66,54,59,52
57,58,55,56,57,45,54,57,64,54,59,45
52,53,52,52,60,51,58,58,64,53,56,46
55,56,55,56,56,43,53,55,63,53,58,43
