国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
50,50,61,61,59,56,55,55,56,54,56,50
58,59,54,53,63,67,67,59,60,61,59,64
69,68,56,56,53,52,53,61,61,61,61,63
56,57,55,54,60,63,62,58,58,59,57,60
42,43,49,47,47,41,41,46,47,45,48,38
34,36,50,47,54,52,50,45,46,45,46,38
66,65,73,74,64,61,62,66,65,64,66,63
56,58,40,38,54,59,59,54,54,57,53,61
53,54,48,46,53,53,53,53,53,54,53,53
64,64,61,61,63,65,65,63,63,63,62,66
44,45,56,54,51,46,45,49,50,48,51,41
69,68,66,68,70,75,75,68,68,69,67,74
62,62,57,57,60,62,62,60,60,61,60,63
66,65,63,63,58,57,57,62,62,61,62,62
47,48,60,59,57,53,52,54,54,52,54,47
69,68,72,74,73,77,77,70,69,70,69,75
66,66,59,59,56,55,56,61,61,61,61,62
47,48,61,60,67,70,69,57,58,58,57,56
48,48,71,72,61,55,55,57,57,54,58,47
65,65,64,65,60,60,60,63,63,63,63,63
64,63,56,55,46,39,40,55,56,54,57,51
36,38,48,45,53,51,49,46,46,46,46,39
60,61,53,52,63,69,68,60,60,62,59,67
62,61,62,63,56,52,53,59,59,58,60,56
66,66,64,65,69,73,73,66,66,67,65,71
78,77,64,66,66,70,71,70,70,71,69,79
52,53,51,49,52,50,50,52,53,53,53,50
79,77,69,72,71,76,77,73,72,74,72,82
68,68,50,50,67,77,76,64,64,68,62,77
77,76,66,68,68,73,73,71,70,72,70,79
79,78,54,55,69,80,80,70,70,74,68,86
60,59,63,64,56,52,53,59,59,58,60,55
75,75,54,55,57,59,60,64,64,66,64,72
78,76,49,49,47,46,48,61,61,62,61,67
72,72,59,60,65,70,71,67,66,68,66,75
64,64,62,62,64,67,67,64,63,64,63,67
47,48,67,67,65,63,62,57,57,56,58,51
70,69,75,78,67,66,67,69,68,67,69,68
62,62,56,56,55,53,53,58,58,58,58,58
49,49,59,58,47,38,39,51,51,48,52,39
71,70,64,65,60,59,60,65,65,65,65,67
80,78,61,63,61,63,64,69,68,69,68,76
75,73,53,53,44,39,42,59,59,59,60,60
59,58,65,66,57,52,52,59,59,57,60,53
52,52,67,67,64,62,62,59,59,58,59,55
58,58,68,69,58,53,54,60,60,58,61,53
44,46,48,45,51,48,48,48,49,48,49,44
63,63,56,56,66,73,72,63,63,65,62,70
73,71,70,72,62,61,62,68,67,67,68,68
62,61,70,71,64,63,63,64,63,63,64,62
53,54,52,50,58,60,59,55,55,56,55,56
51,52,54,53,62,65,64,56,56,57,55,57
72,72,56,57,68,76,76,67,67,70,65,79
69,68,62,62,57,55,56,63,63,62,63,64
74,73,65,67,70,76,76,70,69,71,69,79
63,63,52,51,49,45,46,56,56,56,56,55
61,60,70,71,64,63,63,63,63,62,63,60
55,56,67,67,72,76,75,63,63,64,62,65
55,55,57,57,62,64,63,58,58,59,58,59
63,64,58,58,66,72,71,63,63,65,62,70
51,52,60,60,66,69,68,58,58,59,58,59
70,69,68,70,67,70,70,68,67,68,68,72
74,73,59,60,64,68,69,67,67,69,66,75
70,70,58,59,68,76,76,67,66,69,65,77
66,66,70,72,76,83,82,70,69,71,68,76
63,63,56,56,51,48,49,58,58,57,58,56
64,63,49,48,44,39,41,54,54,54,55,52
61,61,60,60,62,64,64,61,61,62,61,63
71,71,61,63,74,85,84,70,69,73,68,82
61,60,55,55,48,43,44,55,56,54,56,52
63,62,69,70,61,57,58,63,62,61,63,59
46,47,51,50,52,49,48,50,50,49,51,45
43,44,58,56,54,49,49,51,51,49,52,42
54,54,70,71,67,66,65,62,61,60,62,58
64,64,59,59,64,67,67,63,63,64,62,67
76,75,60,62,66,72,72,69,68,71,67,78
61,62,55,55,59,61,61,59,60,60,59,63
