国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
51,49,54,54,60,48,56,56,62,52,55,41
58,60,49,52,64,59,61,64,68,55,58,54
61,68,50,51,54,44,55,59,66,53,61,52
56,57,50,51,61,55,58,61,66,53,57,50
43,41,45,46,46,33,45,45,56,43,45,31
41,34,46,47,54,44,49,49,58,44,44,31
63,66,61,60,65,53,64,64,68,61,67,52
54,57,40,44,55,51,53,59,65,48,51,50
52,52,45,47,53,45,51,55,62,48,51,44
61,65,54,55,64,57,62,65,68,57,63,55
46,42,49,49,51,38,49,49,58,46,49,33
66,71,58,59,72,67,69,72,72,63,69,62
59,62,51,53,61,54,59,62,67,55,60,52
61,65,54,55,59,49,59,61,66,56,63,52
49,47,53,53,57,45,54,54,61,50,53,39
67,71,61,62,75,69,71,73,73,65,71,62
60,65,52,52,57,47,57,60,66,54,61,51
52,49,54,56,69,62,63,63,66,55,57,47
51,48,60,59,62,47,59,56,62,55,58,38
61,65,55,56,62,52,60,62,67,57,64,53
56,61,49,49,45,31,48,50,61,48,56,42
41,36,45,46,53,43,49,49,58,43,44,32
59,61,49,51,65,61,61,65,68,55,59,55
58,61,54,54,56,44,56,57,64,54,60,47
64,67,56,58,71,65,67,70,71,61,66,60
71,79,56,58,68,62,67,72,73,63,71,66
51,51,46,48,52,42,51,53,61,48,51,41
72,80,60,61,73,68,71,75,75,66,74,68
64,70,48,51,69,69,65,72,72,58,63,65
71,78,57,59,70,65,68,73,73,64,72,66
72,81,50,54,71,72,69,76,75,62,69,72
57,59,55,54,57,45,56,57,64,54,60,46
66,75,49,51,57,51,58,64,69,56,64,60
65,76,45,47,47,38,51,57,66,51,61,56
67,73,53,55,67,62,65,70,71,60,67,63
62,65,54,56,66,59,63,66,69,58,64,56
52,48,58,58,66,55,61,60,64,55,58,42
66,70,63,62,69,58,67,68,70,64,71,57
58,61,50,51,55,45,55,57,64,52,58,48
47,46,51,50,47,30,47,46,57,46,51,32
65,71,55,56,61,51,60,63,68,58,66,56
70,80,54,55,62,55,63,68,71,60,70,63
62,72,47,48,44,31,48,53,63,50,60,50
56,58,56,55,57,44,56,56,63,54,60,44
54,53,58,57,65,54,61,61,65,56,60,45
56,57,58,57,59,45,58,57,64,55,61,44
46,43,45,46,51,40,48,50,59,45,47,36
