国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
60,65,62,66,55,53,42,56,48,61,61,44
62,72,58,67,53,64,51,45,50,68,68,60
74,82,54,63,50,39,50,67,51,61,77,61
61,73,58,65,50,60,47,50,49,62,74,68
58,61,48,51,40,31,28,46,42,53,60,43
53,61,48,52,52,51,47,30,40,60,57,36
67,75,61,72,51,57,57,80,46,67,69,64
67,73,48,53,49,46,55,43,44,62,72,63
64,74,54,60,45,52,43,38,49,56,64,51
75,75,56,66,55,57,59,60,51,62,72,59
57,70,55,60,50,39,32,54,44,59,61,49
78,83,56,78,53,73,59,60,55,70,77,69
66,72,60,70,53,60,53,57,47,62,67,71
70,73,63,71,54,51,54,71,50,63,70,63
64,67,59,61,54,50,35,50,47,63,68,47
69,81,59,76,54,70,56,61,49,67,71,75
69,80,52,69,54,49,48,69,56,63,75,69
67,67,54,65,54,63,61,37,41,67,58,46
62,66,60,74,49,46,41,62,45,56,69,53
71,75,60,74,52,58,57,62,51,58,78,64
71,72,51,64,42,30,39,77,49,61,70,61
53,59,54,57,46,50,34,26,34,57,53,48
69,80,49,65,50,65,50,46,43,66,74,70
70,78,53,64,51,52,36,69,44,59,71,63
73,74,53,70,59,66,53,54,48,69,71,66
85,85,59,68,55,53,62,76,53,64,83,80
63,66,56,58,48,53,47,45,41,56,64,49
79,86,62,77,58,65,59,81,58,72,82,89
79,73,46,63,55,59,62,44,53,71,72,70
85,82,63,76,56,56,66,71,59,64,83,87
83,88,54,68,59,73,72,55,53,74,80,80
72,74,53,64,48,46,38,66,47,61,76,60
80,86,50,62,48,55,46,65,55,67,74,83
85,89,50,59,48,37,33,72,62,60,85,72
75,84,57,66,56,61,58,59,55,70,76,74
70,71,54,71,57,64,63,61,45,62,67,75
60,68,62,69,57,62,58,59,43,65,62,56
69,83,66,79,54,54,50,81,53,62,72,61
73,71,50,62,45,48,41,58,51,57,77,55
65,68,58,70,40,41,36,57,48,56,65,38
81,85,59,65,47,58,54,81,49,60,78,76
82,82,61,66,52,53,51,85,64,71,87,84
81,80,52,59,42,42,39,75,59,65,81,62
66,70,58,67,55,49,36,73,43,64,72,64
64,72,60,70,49,49,47,50,44,64,62,60
69,77,60,75,52,55,43,73,49,60,66,56
57,67,47,60,52,48,37,44,35,54,67,49
73,73,55,60,51,59,65,58,44,62,68,77
78,78,61,68,53,58,48,82,60,68,75,69
71,70,61,70,51,62,60,71,48,67,75,64
