国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
66,65,55,63,54,43,49,54,38,56,67,58
67,77,56,58,55,54,52,63,49,56,65,58
71,75,54,66,50,47,47,69,58,67,70,62
62,68,49,61,56,53,52,53,51,56,65,51
58,58,53,60,50,41,32,51,39,53,57,40
55,60,49,56,52,42,43,42,37,47,54,45
69,82,66,77,53,60,54,63,55,69,79,69
67,78,45,52,53,52,52,56,44,49,61,61
59,72,47,56,51,52,40,57,44,54,61,48
69,71,59,70,57,63,55,69,49,62,70,63
56,60,55,60,50,37,31,49,42,55,61,37
73,80,61,66,56,70,70,73,53,69,73,77
71,71,50,69,52,54,43,65,46,58,74,61
76,71,63,73,54,52,43,60,51,65,77,64
55,67,54,66,47,53,48,47,45,58,71,53
72,79,67,73,61,67,66,71,53,73,71,77
73,72,56,65,52,55,39,68,55,65,69,60
60,65,52,68,51,62,59,56,37,58,63,61
56,70,65,79,49,48,36,53,41,62,66,55
75,72,62,70,50,59,53,67,50,68,79,65
72,70,56,64,44,36,26,58,51,61,73,61
50,63,53,57,43,52,45,38,35,54,55,39
76,72,49,64,56,62,56,52,47,56,64,73
75,76,62,74,48,42,47,56,52,65,71,62
69,83,58,76,53,61,68,68,47,64,79,73
78,89,54,65,57,59,66,70,52,70,72,83
59,74,49,57,52,44,38,52,41,56,62,51
81,78,58,74,61,72,70,73,62,66,74,79
71,84,53,62,57,74,59,58,51,55,76,66
82,78,57,76,56,70,60,77,53,66,73,75
83,82,56,58,55,72,65,63,60,59,74,86
70,74,58,63,45,47,35,55,53,61,76,56
82,81,53,61,49,47,52,72,57,63,76,78
78,84,52,55,43,47,37,75,54,68,76,77
80,85,52,60,58,59,65,71,49,67,81,73
73,76,57,64,56,66,62,55,49,63,77,66
60,72,64,70,57,50,47,49,39,64,72,50
79,83,71,83,53,59,62,76,48,75,82,68
74,71,57,63,52,48,42,58,46,60,71,58
64,69,62,67,41,43,21,50,45,60,71,52
73,79,55,68,52,53,55,77,57,69,77,78
78,88,56,62,49,60,54,66,62,64,84,77
75,84,57,57,43,43,26,73,60,69,73,74
66,69,55,65,51,49,39,64,48,67,72,65
66,74,57,67,54,51,45,62,45,60,68,59
64,71,58,74,47,40,49,70,51,65,72,60
55,61,45,54,47,41,41,39,37,57,69,49
69,79,52,66,53,61,51,60,49,57,72,66
74,78,59,72,50,50,57,65,55,70,79,70
74,71,62,72,58,53,45,74,50,64,76,69
68,65,53,56,49,51,54,51,48,54,70,55
67,70,57,57,52,55,51,47,46,60,61,48
77,81,51,70,53,60,69,64,56,62,81,77
72,80,57,74,50,48,50,75,54,69,71,74
76,81,64,66,58,68,61,61,53,63,80,74
71,74,52,58,50,43,42,64,57,66,70,63
74,73,61,78,58,48,46,66,52,69,69,68
66,71,58,66,57,70,55,59,45,65,64,63
66,67,49,65,50,48,43,59,41,57,71,56
67,73,51,65,55,63,66,54,53,65,67,68
62,65,52,70,54,66,64,56,39,57,65,53
71,80,61,69,58,54,62,71,57,68,72,64
76,81,54,72,53,58,57,73,57,71,71,81
70,77,58,67,54,72,62,55,47,65,76,76
70,78,61,75,57,77,74,72,54,70,72,67
72,73,60,58,42,46,42,61,52,64,66,63
74,78,52,57,45,40,36,59,53,59,68,54
65,77,61,68,49,59,51,53,47,67,70,63
76,81,54,72,58,73,68,60,57,61,70,79
66,70,52,57,50,36,42,54,48,58,70,56
67,72,67,76,52,54,43,69,47,63,68,68
56,63,54,56,49,42,44,55,40,51,60,40
54,61,53,66,52,50,48,51,45,55,66,40
60,70,57,71,52,51,54,61,45,64,71,50
73,77,55,68,50,60,50,67,46,58,77,65
73,82,58,71,54,68,52,66,51,71,80,76
72,75,51,59,56,59,52,53,48,56,66,59
65,73,63,62,50,45,43,60,51,67,75,62
60,68,60,61,50,51,50,58,42,61,66,63
64,77,61,69,48,46,41,56,42,62,67,49
76,73,55,66,56,63,55,62,52,60,70,67
68,74,61,66,54,56,44,65,47,69,72,63
76,89,58,71,54,61,59,76,58,71,74,80
70,67,47,58,45,24,28,58,45,57,61,45
73,71,57,61,54,60,41,60,49,60,64,51
75,84,58,69,56,65,54,70,53,72,78,73
67,66,55,67,45,50,44,53,42,56,65,48
70,76,60,67,57,64,63,60,51,57,68,72
74,80,47,56,45,44,46,56,48,59,72,62
72,71,55,64,57,54,52,70,52,64,69,64
66,74,62,64,50,50,54,56,46,68,70,50
65,68,55,63,49,45,35,66,47,64,68,55
74,79,56,66,52,59,44,78,54,74,73,70
60,65,61,71,54,56,53,52,45,60,69,61
69,72,57,59,52,57,42,61,52,59,77,71
68,67,55,71,49,53,46,58,49,64,74,60
67,83,55,71,46,55,44,72,51,62,77,73
77,77,57,68,49,52,45,70,50,62,69,61
76,83,49,66,46,48,43,58,53,61,78,62
75,80,75,81,56,55,58,76,54,73,76,83
66,68,53,57,47,47,36,59,49,57,63,58
67,77,60,71,45,36,29,64,53,65,66,63
69,75,66,80,60,63,61,62,51,69,72,62
56,67,52,62,51,53,47,40,42,50,63,48
71,76,45,57,46,43,45,42,48,56,62,60
79,80,55,65,54,55,54,73,57,67,69,78
60,73,59,69,46,45,44,54,43,57,70,56
65,66,67,78,55,52,39,66,44,61,72,51
70,71,49,58,54,49,52,47,49,60,71,60
62,67,50,57,45,48,50,55,38,53,65,55
68,67,56,62,54,39,47,63,48,63,72,52
71,76,53,64,52,45,33,68,47,61,71,57
69,67,53,66,53,52,57,53,39,60,71,62
74,72,62,63,56,62,65,60,55,62,74,65
73,80,57,65,44,49,33,55,48,63,70,72
65,68,70,79,50,50,52,58,39,64,71,42
74,79,57,69,51,60,54,56,53,64,74,69
69,67,43,59,42,43,33,52,48,51,62,50
59,67,56,60,45,52,46,50,43,60,69,46
72,79,53,64,53,57,61,71,50,63,71,78
62,70,52,65,47,52,51,50,44,55,70,44
62,64,62,75,57,54,45,53,45,63,63,63
74,78,62,70,57,60,73,61,52,71,69,71
69,65,71,85,59,67,55,64,40,69,70,52
85,83,56,65,55,48,46,72,63,62,78,85
70,74,57,63,45,40,38,69,48,65,68,59
73,75,48,53,47,64,49,51,55,61,76,79
60,61,62,81,48,51,42,55,47,64,63,44
68,73,60,79,46,52,45,74,54,71,68,69
70,76,58,75,58,51,55,52,43,67,74,64
84,83,58,65,54,67,70,73,55,66,78,87
53,66,42,61,45,39,36,37,37,48,57,46
64,66,64,76,49,38,24,60,43,66,71,41
68,65,54,58,55,58,60,53,46,58,64,50
72,78,58,66,53,53,44,63,48,70,74,70
66,77,59,64,52,58,54,64,47,57,71,59
67,82,59,72,58,61,59,67,50,63,74,58
80,78,60,68,47,39,35,64,53,65,75,73
60,72,50,60,49,36,33,58,40,54,64,56
72,76,67,80,61,67,70,63,50,69,66,74
64,68,60,68,50,55,52,59,41,56,69,51
66,70,56,58,44,38,35,57,39,60,68,39
64,75,61,75,58,57,54,72,49,68,66,63
76,76,64,77,59,70,65,66,53,68,73,80
61,67,67,67,53,49,34,62,40,67,67,42
73,79,64,79,52,48,58,81,51,69,71,63
73,81,58,62,53,68,68,66,59,68,82,85
63,73,61,69,49,50,52,57,45,68,66,55
73,79,58,65,52,54,49,57,43,67,71,56
61,63,55,59,46,50,47,59,42,61,69,49
65,72,47,52,42,53,39,49,45,49,67,56
58,71,52,62,58,64,60,44,47,56,69,57
63,75,54,66,51,40,37,64,46,69,75,49
73,71,59,74,62,75,68,62,48,69,74,61
74,69,61,62,50,53,53,66,44,61,67,55
71,77,52,66,58,58,55,58,51,67,80,79
70,74,55,73,51,53,51,59,58,64,75,61
74,79,54,61,49,56,55,64,48,59,75,62
69,79,59,68,51,50,53,66,46,73,73,60
68,81,62,73,50,63,57,61,52,72,75,58
