国語,英語,数学,物理,化学,生物,地学,世界史,日本史,経済,地理,倫理
50,51,54,54,60,48,56,56,43,56,55,41
55,56,48,52,63,59,64,60,48,61,58,54
66,68,50,51,54,44,54,62,52,64,61,52
54,55,49,51,61,55,60,58,46,59,57,50
42,40,45,46,46,33,45,44,36,44,45,31
35,32,45,47,54,44,52,44,33,42,44,31
65,70,62,60,66,53,60,68,54,70,67,52
52,50,38,44,53,51,58,53,44,53,51,51
51,49,44,47,53,45,54,52,43,52,51,44
61,64,53,55,64,57,62,64,52,66,63,55
44,43,50,49,51,38,48,48,38,48,49,33
65,70,57,59,72,67,69,71,56,73,69,62
59,61,51,53,61,54,60,61,50,62,60,52
64,67,55,55,59,48,57,64,52,65,63,52
48,48,53,53,57,45,53,53,41,53,53,39
66,72,62,62,75,69,71,73,58,75,71,62
63,66,52,53,57,47,56,62,51,64,61,51
46,47,53,56,69,62,65,58,43,58,56,47
50,53,62,59,63,47,55,58,44,58,58,38
63,67,56,56,62,52,59,65,52,66,64,53
62,64,50,49,46,31,45,56,48,58,56,42
36,33,44,46,52,43,51,44,33,42,44,32
56,57,47,52,64,61,65,61,49,62,59,56
61,63,55,54,57,44,54,60,49,62,60,47
63,67,56,58,70,65,68,69,54,70,66,60
74,79,56,58,68,62,67,74,60,76,71,66
50,50,46,48,52,42,52,52,42,52,52,41
74,81,60,61,73,68,71,77,62,80,74,68
61,63,45,52,67,69,70,66,53,67,63,65
73,78,57,59,70,65,68,74,60,77,72,66
71,75,48,54,70,72,73,73,60,75,69,72
59,62,55,54,58,44,54,60,48,61,60,46
71,73,48,51,57,51,59,66,56,68,64,60
73,75,45,47,47,38,51,62,55,65,61,56
67,71,52,55,66,62,66,69,56,71,67,63
61,64,54,56,66,59,64,65,52,67,63,56
48,50,58,58,66,55,60,58,44,58,58,42
69,75,64,62,70,58,63,72,57,74,71,57
60,61,50,51,55,45,54,59,48,60,58,48
50,50,52,50,48,30,44,50,40,51,51,32
68,73,56,56,61,51,59,67,55,69,66,56
75,80,54,55,62,55,62,72,60,74,70,63
72,74,48,48,44,31,46,60,53,63,60,50
59,61,57,55,58,44,53,60,48,61,60,44
52,55,58,57,66,54,60,60,46,61,60,45
58,62,59,57,60,45,54,61,48,62,61,44
43,41,44,46,50,40,50,47,37,46,47,36
58,61,50,54,67,65,67,65,51,65,62,58
71,76,60,59,65,53,60,70,57,73,69,57
61,65,60,59,66,55,61,66,52,67,65,51
51,50,47,50,58,52,58,55,44,55,54,47
49,49,48,51,62,57,62,56,44,56,55,48
66,70,50,54,69,68,70,70,57,71,67,66
67,70,54,54,58,47,56,65,53,67,64,53
69,75,57,59,72,68,70,73,59,75,71,66
61,61,47,48,49,37,49,56,48,58,56,46
60,64,60,59,66,55,61,65,51,66,64,50
53,56,58,59,74,68,69,65,49,65,63,54
53,54,51,53,63,56,61,59,46,59,57,49
60,62,51,54,67,64,67,65,52,66,63,58
49,50,53,55,67,61,64,59,45,59,58,49
67,72,59,59,69,62,66,71,57,73,69,60
69,73,52,55,65,60,65,69,57,72,67,63
65,68,51,55,69,68,70,69,56,70,66,64
62,68,60,62,78,75,74,73,56,74,70,63
61,63,50,50,52,40,51,58,48,60,58,46
61,61,45,45,43,31,45,54,47,55,54,44
59,61,53,55,64,56,62,63,50,64,61,53
65,70,54,58,76,76,76,73,58,74,70,69
60,60,49,49,49,35,48,55,47,57,56,43
62,66,60,58,62,49,57,64,51,66,64,49
45,44,46,48,52,41,50,49,39,48,49,37
44,43,51,51,55,42,51,50,38,49,50,35
54,57,60,59,69,58,63,63,48,64,62,48
61,63,52,54,65,59,64,64,52,65,62,56
71,75,53,56,67,64,67,72,59,74,69,66
58,60,49,52,60,53,60,61,49,61,59,52
58,60,55,54,58,45,54,60,48,61,59,45
52,53,52,53,60,51,58,57,45,58,56,46
57,59,55,54,57,43,53,58,47,60,58,43
58,59,46,49,59,55,61,60,49,60,58,54
58,61,58,57,65,54,60,63,50,64,62,50
75,79,53,54,60,53,60,70,59,73,69,62
51,48,39,41,37,24,40,44,39,45,45,34
54,55,49,52,60,53,59,58,47,59,57,49
68,73,56,57,67,61,66,70,57,72,68,62
52,52,51,51,53,41,51,54,43,54,54,40
59,62,52,55,69,66,68,65,52,66,63,59
58,58,47,49,54,45,54,57,47,58,56,48
60,64,57,57,65,55,61,64,51,66,63,51
56,58,57,56,63,51,58,61,48,62,60,47
54,56,52,52,55,43,52,56,45,57,56,43
75,80,56,56,60,50,59,71,59,73,69,60
50,52,54,55,66,59,63,59,46,60,58,49
63,65,49,51,56,48,57,62,51,63,60,53
52,54,56,56,65,56,61,60,46,60,59,47
63,66,53,54,59,50,58,63,52,65,62,52
65,68,52,54,61,53,60,65,54,67,64,56
63,65,50,51,57,48,57,62,51,63,61,53
76,84,69,65,70,54,61,76,61,80,76,58
55,55,48,49,52,41,51,54,45,55,54,43
61,63,53,51,51,35,48,57,48,59,58,43
57,61,61,61,75,68,70,68,52,69,66,56
38,37,49,50,58,48,55,48,36,47,48,35
50,49,42,46,52,46,55,52,42,52,51,45
67,70,52,54,62,55,62,67,55,69,65,58
52,53,52,53,59,49,56,56,45,57,56,44
51,54,62,59,64,49,56,59,45,60,60,40
50,50,48,51,60,54,59,56,44,56,55,47
45,44,47,49,55,46,54,51,40,50,50,39
58,60,54,53,56,43,53,58,47,60,58,45
63,65,54,52,52,38,50,60,50,62,60,45
50,52,56,56,67,58,62,59,45,60,58,47
61,65,55,57,71,67,69,68,54,69,66,60
62,63,47,49,52,42,53,59,49,60,58,49
51,56,67,63,69,53,59,62,46,63,62,41
65,68,50,54,67,66,68,68,55,69,65,64
49,47,43,45,49,40,50,50,41,50,49,40
51,51,49,50,53,42,52,53,43,53,53,41
68,72,54,56,65,59,64,69,56,71,67,60
